Procedure,Code
Banding of hemorrhoids,49.45
Colonoscopy,45.23
Flexible sigmoidoscopy,45.24
Occupational therapy,93.83
Chest Physiotherapy,93.99
Limb Physiotherapy,93.39
Laparoscopic cholecystectomy,51.23
Open cholecystectomy,51.22
Whipple procedure (pancreaticoduodenectomy),52.7
Lobectomy of liver,50.3
Total pancreatectomy,52.6
Open appendicectomy,47.09
Laparoscopic appendicectomy,47.01
Left hemicolectomy,45.75
Laparoscopic left hemicolectomy,17.35
Right hemicolectomy,45.73
Laparoscopic right hemicolectomy,17.33
Exploratory laparotomy,54.11
Diagnostic laparoscopy,54.21
Anterior resection with colostomy,48.62
Omentectomy,54.4
Relaparotomy,54.12
Intestinal anastomosis- small to small intestines,45.91
Intestinal anastomosis- small intestine to rectal stump,45.92
Intestinal anastomosis- other small to large intestine,45.93
Intestinal anastomosis- large to large intestine,45.94
Intestinal anastomosis- small intestine to anus,45.95
Fundoplication,44.66
Colostomy,46.1
Closure of colostomy,46.52
Ileostomy,46.2
Closure of ileostomy,46.51
Revision of intestinal stoma,46.4
Unilateral inguinal hernia repair (open),53
Unilateral inguinal hernia repair - Laparoscopic,17.11
Bilateral inguinal hernia repair (open),53.1
Bilateral inguinal hernia repair- Laparoscopic,17.24
Femoral hernia repair(unilateral),53.29
Femoral hernia repair(bilateral),53.39
Umbilical hernia repair (open),53.41
Umbilical hernia repair- Laparoscopic,53.43
Excision of lymph nodes- cervical lymph node,40.21
Excision of lymph nodes- axillary lymph node,40.23
Excision of lymph nodes- inguinal lymph node,40.24
Excision of lymph nodes- cystic hygroma/lymphangioma,40.29
Interlocking Nail Left Femur,79.35 Open reduction of fracture with internal fixation
Long Non Locking Reconstruction Plate Right Iliac,79.39 Open reduction of fracture with internal fixation
Nail Bed Repair,"86.27 Debridement of nail, nail bed, or nail fold"
K-Wire Insertion Right Index Finger,79.14 Closed reduction of fracture with internal fixation
Open Book Fracture Pelvic External Fixator,78.19 Application of external fixator device
Bone Graft,78.0 Bone graft
Left Distal Femur Variable Locking Plate,79.35 Open reduction of fracture with internal fixation
Tension Band Wire Left Olecranon,79.39 Open reduction of fracture with internal fixation
Open Reduction Internal Fixation Fracture Right Zmc,"ZMC = Zygomaticomaxillary complex fracture
76.72 Open reduction of malar and zygomatic fracture
76.74 Open reduction of maxillary fracture

kod ini sudah mengambilkira INTERNAL FIXATION "
Below Knee Amputation,84.15 Other amputation below knee
Left Cross Wrist External Fixation And Left Radiocarpal K-Wire And Tightrope Left Distal Radius Ulnar Joint,"watak utama : Left distal radius ulnar joint

LEFT CROSS WRIST EXTERNAL FIXATION
- 78.13 Application of external fixator device
LEFT RADIOCARPAL K-WIRE
- 79.32 Open reduction of fracture with internal fixation

"
Hydrostatic reduction,96.29 Reduction of intussusception of alimentary tract
Scrotal exploration,61.19 Other diagnostic procedures on scrotum and tunica vaginalis
Excision of testicular appendix,"62.2 Excision or destruction of testicular lesion
Excision of appendix testis"
Usg guided pigtail insertion,"tak cukup specific sebab tiada lokasi
- kalau diagnosis  die pleural effusion/abscess, 
34.04 Insertion of intercostal catheter for drainage
- kalau diagnosis die kidney abscess/pyelonephritis ker 
55.12 Pyelostomy
Insertion of drainage tube into renal pelvis
- kalau diagnosis  die liver abscess, 
50.19 Other diagnostic procedures on liver"
Iv infusion normal saline,"iv infusion normal saline = ivd = iv drip
99.18"
b-hCG,"dia ni blood test, tk yah la letak"
Nail Trephination of Right Thumb with occlusive dressing ,boleh la hahahah
Drains removal from neck,97.39 Removal of other therapeutic device from head and neck
Cerclage wire left patella,78.56 Internal fixation of bone without fracture reduction (patella)
Percutaneous Transpedicular Screw Insertion L3-S1,84.82 Insertion or replacement of pedicle-based dynamic stabilization device(s)
Screw Fixation Right Radial Styloid,79.32 Open reduction of fracture with internal fixation (radius)
glanuloplasty,64.49 Other repair of penis
scrotoplasty,61.49 Other repair of scrotum and tunica vaginalis
decompressive Craniectomy And Clot Evacuation,01.25 Other craniectomy
removal of necrotic patch,"86.22 Excisional debridement of wound, infection, or burn"
Laparoscopic Assisted Percutaneous Left Internal Ring Ligation,"17.13 Laparoscopic repair of inguinal hernia with graft or prosthesis, not otherwise specified"
Excision Biopsy of right back Lipoma,86.3 Other local excision or destruction of lesion or tissue of skin and subcutaneous tissue
Bicolumnar plating of right distal humerus,79.31 Open reduction of fracture with internal fixation (humerus)
Removal Of Abdominal Pregnancy,74.3 Removal of extratubal ectopic pregnancy
Trop T/I,"blood test ni, tak perlu letak procedure la"
Superficialization Of Lower Brachiocephalic Fistula,39.42 Revision of arteriovenous shunt for renal dialysis
ommaya tapping,"01.02 Ventriculopuncture through previously implanted catheter
Puncture of ventricular shunt tubing"
Anterior Cruciate Ligament (ACL) Reconstruction,81.45 Other repair of the cruciate ligaments
Laparotomy Para-Aortic And Aortocaval Lymph Node Dissection,"PARA-AORTIC LYMPH NODE DISSECTION
- 40.52 Radical excision of periaortic lymph nodes
AORTOCAVAL LYMPH NODE DISSECTION
- 40.59 Radical excision of other lymph nodes"
Laparotomy Caudate Liver Lobe Resection,50.3 Lobectomy of liver
Diagnostic Laparoscopic And Omental Biopsy,"54.21 Laparoscopy

54.23 Biopsy of peritoneum
Biopsy of:
mesentery
omentum"
iv line insertion,"ni macam branula insertion je, tk yh masukkan"
Laparoscopic Non Anatomical Resection Segment III Colorectal Liver Metastasis,50.22 Partial hepatectomy
Refashioning Of Right 3rd Toe,84.11 Amputation of toe
Right Knee Arthrotomy Washout,80.16 Other arthrotomy (knee)
Left below knee amputation,84.15 Other amputation below knee
Bone marrow density scan,88.98 Bone mineral density studies
left anterior talofibular ligament reconstruction ,81.94 Suture of capsule or ligament of ankle and foot
Right frontal vsgs,"Ventriculosubgaleal shunt (VSGS)

02.31 Ventricular shunt to structure in head and neck"
Left Anterior Talofibular Ligament Reconstruction ,81.94 Suture of capsule or ligament of ankle and foot
Tibial pin insertion,93.44 Other skeletal traction
Thrombolysis,99.10 Injection or infusion of thrombolytic agent
"Exploratory laparotomy, liver packing, bogota bag application","54.11 Exploratory laparotomy
54.99 Other other operation on abdominal region
54.72 Other repair of abdominal wall"
"Relaparotomy, Removal of Bogota Bag, Closure of Abdominal wall","54.11 Exploratory laparotomy
86.05 Incision with removal of foreign body or device from skin and subcutaneous tissue
54.61 Reclosure of postoperative disruption of abdominal wall"
Laparoscopic intraperitoneal onlay mesh repair,53.63 Other laparoscopic repair of other hernia of anterior abdominal wall with graft or prosthesis
Bilateral Upper Eyelids Blepharoplasty,"08.70 Reconstruction of eyelid, not otherwise specified"
Infusion of venofer,99.29 Injection or infusion of other therapeutic or prophylactic substance
Distal Nerve Repair Left Middle Finger,04.3 Suture of cranial and peripheral nerves
Saucerization of shin carbuncle,"shin = tulang kering
tapi saucerization di mana2 bahagian pakai kod sama
86.22 Excisional debridement of wound, infection, or burn"
Saline test of right knee,"mcm tk cukup info....diagnosis die ade kaitan dgn lutut ker?
81.92 Injection of therapeutic substance into joint or ligament"
Above knee backslab,"93.54 Application of splint
- dalam orthopaedic procedure form , sama kod untuk semua backslab"
Iv cannulation,"tak perlu , ni macam branula"
Proximal femoral nail,79.35 Open reduction of fracture with internal fixation (femur)
"Laparotomy, washout and hartmann's procedure","54.99 Other (other operation on abdominal regions) 
- utk washout , tapi i mcm tk sure sgt
45.76 Open and other sigmoidectomy
46.10 Colostomy, not otherwise specified
- dua di atas utk hartmann's procedure"
Dura repair,02.11 Simple suture of dura mater of brain
Duraplasty,02.11 Simple suture of dura mater of brain
Posterior lumbar interbody fusion L3-L5,"81.08 Lumbar and lumbosacral fusion, posterior technique"
Posterior spinal instrumentation and fusion L4/L5,"81.08 Lumbar and lumbosacral fusion, posterior technique
84.51 Insertion of interbody spinal fusion device"
CSF Tapping,"CSF = cerebrospinal fluid
tak cukup specific sbb tak sebut cara
- 03.31 Spinal tap"
CSF Biochem,90.0 Microscopic examination of specimen from nervous system and of spinal fluid
Diagnostic Laparoscopic Stage I Fowler Stephens Procedure,62.5 Orchiopexy
"Right inguinal Exploration, Ligation of right profunda femoris and tributary of right femoral vein and toilet and suturing","54.29 Other diagnostic procedures on abdominal region
- inguinal exploration 
38.88 Other surgical occlusion of vessels (8= femoral artery)
- ligation of right profunda femoris
38.89 Other surgical occlusion of vessels (9=femoral vein)
- ligation tributary of right femoral vein
Toilette and suturing tu pakai kod Td&s yg biasa pakai tu ya "
Inguinal Exploratory = Sepatutnya Inguinal Exploration,"54.29 Other diagnostic procedures on abdominal region
- inguinal exploration "
Labial Plasty (Excision Labial Fusion And Reconstruction Of Labia),"71.01 Lysis of vulvar adhesions
- EXCISION LABIAL FUSION
71.79 Other repair of vulva and perineum
- RECONSTRUCTION OF LABIA"
Antiepileptics,"yg tu ubat biasa2, tak yh letak"
CTPA,88.43 Arteriography of pulmonary arteries
"Wide Local Excision,Axillary Clearance And Lateral Intercostal Artery Perforated","i rasa full die 
Wide Local Excision,Axillary Clearance And Lateral Intercostal Artery Perforator flap
85.20 Excision or destruction of breast tissue, not otherwise specified
- wide local excision
40.23 Excision of axillary lymph node
- axillary clearance 
85.70 Total reconstruction of breast, not otherwise specified
- lateral intercostal artery perforator flap

"
Laparotomy And Perforated Gastric Ulcer Repair And Washout,"54.11 Exploratory laparotomy
- Laparotomy
44.41 Suture of gastric ulcer site
- Perforated Gastric Ulcer Repair"
medial meniscus tear repair,81.47 Other repair of knee
Abdominal Wall Reconstruction And Mesh Repair,54.72 Other repair of abdominal wall
Abdominoplasty,54.72 Other repair of abdominal wall
Right flexor pollicis longus exploration and flexor pollicis longus reconstruction using palmaris longus graft,"83.81 Tendon graft - ni ok da
83.01 Exploration of tendon sheath - tgh tunggu reply mo ortho utk ni"
Contracture release left  ring finger,"82.35 Other fasciectomy of hand
- Release of Dupuytren's contracture"
RIGHT LUNG CT GUIDED BIOPSY,33.26 Closed [percutaneous] [needle] biopsy of lung
right syndesmotic screw,81.49 other repair of ankle (kalao diagnosis die ankle related)
Second look wound debridement & corticotomy right tibia ,"nanti kalau dpt tlg share pt id 
86.22 Excisional debridement of wound, infection, or burn
- utk debridement , second look utk ni mcm tkde
77.87 Other partial ostectomy (tibia)
- corticotomy"
